Dates,X,Y,Z,A,B,D
12/03/2014,0,1,2,0,0,0
12/04/2014,1,0,2,0,0,0
12/05/2014,0,1,2,0,0,0
12/06/2014,2,0,0,0,0,1
12/07/2014,0,0,0,0,1,2
12/08/2014,0,0,1,0,0,2
12/09/2014,0,0,2,0,0,1
12/10/2014,0,0,0,0,0,3
12/11/2014,1,0,0,0,0,0
12/12/2014,0,0,0,0,0,3
12/13/2014,0,0,1,0,0,2
12/14/2014,0,0,1,0,0,2
12/15/2014,0,0,2,0,0,1
12/16/2014,0,0,2,0,0,1
12/17/2014,0,0,2,0,0,1
12/18/2014,3,1,2,0,0,0
12/19/2014,2,1,2,0,0,0
12/20/2014,4,0,0,0,1,0
12/21/2014,2,0,0,0,0,1
12/22/2014,1,1,1,0,0,0
12/23/2014,0,1,0,0,0,2
12/24/2014,0,1,0,0,0,2
12/25/2014,2,0,0,0,0,1
12/26/2014,2,0,0,0,0,1
12/27/2014,1,0,0,0,0,0
12/28/2014,3,1,0,0,0,0
12/29/2014,0,1,2,0,0,0
12/30/2014,0,1,2,0,0,0
12/31/2014,0,0,0,0,0,3
